month,distinct_orders,month_ts
2015-01,1787,2015-01-01
2015-02,1585,2015-02-01
2015-03,1781,2015-03-01
2015-04,1710,2015-04-01
2015-05,1776,2015-05-01
2015-06,1725,2015-06-01
2015-07,1763,2015-07-01
2015-08,1762,2015-08-01
2015-09,1706,2015-09-01
2015-10,1775,2015-10-01
2015-11,1729,2015-11-01
2015-12,1805,2015-12-01
2016-01,1772,2016-01-01
2016-02,1650,2016-02-01
2016-03,1764,2016-03-01
2016-04,1706,2016-04-01
2016-05,1763,2016-05-01
2016-06,1690,2016-06-01
2016-07,1758,2016-07-01
2016-08,1766,2016-08-01
2016-09,1730,2016-09-01
2016-10,1776,2016-10-01
2016-11,1721,2016-11-01
2016-12,1763,2016-12-01
2017-01,1745,2017-01-01
2017-02,1614,2017-02-01
2017-03,1782,2017-03-01
2017-04,1739,2017-04-01
2017-05,1763,2017-05-01
2017-06,1676,2017-06-01
2017-07,1776,2017-07-01
2017-08,1768,2017-08-01
2017-09,1723,2017-09-01
2017-10,2101,2017-10-01
2017-11,2055,2017-11-01
2017-12,2124,2017-12-01
2018-01,2123,2018-01-01
