feature,importance
Days for shipment (scheduled),0.31469863322344444
Shipping Mode_Standard Class,0.2465497542653992
Shipping Mode_First Class,0.22791697629179267
Shipping Mode_Second Class,0.10163857460923065
Shipping Mode_Same Day,0.023552103330820383
Order Item Discount Rate,0.013410261076552325
order_month,0.009049871889097718
Sales,0.0067681611647900765
Product Price,0.004521491516459555
Order Item Quantity,0.0037269846942218675
Customer Segment_Corporate,0.0027209403122035627
Customer Segment_Consumer,0.0026071206476171323
Customer Segment_Home Office,0.002301829002455008
order_dow_Friday,0.0018722951664680305
order_dow_Monday,0.0018646113019493283
