Order Region,late_delivery_rate
Central Africa,0.5796064400715564
South Asia,0.5626697710516104
East Africa,0.5593952483801296
Western Europe,0.5584861116234461
South of  USA ,0.557725587144623
Eastern Europe,0.5566326530612244
East of USA,0.5566160520607375
Southeast Asia,0.5552992976202956
Central Asia,0.5533453887884268
West Asia,0.5528374105508405
US Center ,0.5524036011550875
Central America,0.5475459581525
North Africa,0.5451732673267327
Southern Europe,0.5438447672569187
Eastern Asia,0.5432692307692307
South America,0.5430867090726481
Northern Europe,0.5404411764705882
Oceania,0.5402049664958612
West of USA ,0.5395971475040661
Southern Africa,0.533275713050994
Caribbean,0.5307766289973551
West Africa,0.5284090909090909
Canada,0.4880083420229406
