Category Name,total_profit,pct_of_total
Fishing,756220.767189502,0.19063253428086044
Cleats,494636.919790561,0.12469095489006077
Camping & Hiking,427455.568105731,0.10775548857684379
Cardio Equipment,383011.098484708,0.09655166788554932
Women's Apparel,350421.02956735,0.0883361735488975
Water Sports,325146.96003752,0.08196493893712069
Indoor/Outdoor Games,318451.430554194,0.08027709087854072
Men's Footwear,311902.820213578,0.07862627905292915
Shop By Sport,129813.96031482199,0.03272425899095713
Computers,69656.81017112,0.017559494302427512
Electronics,40891.379917647,0.010308137150099076
Garden,33443.010106141,0.008430508717987228
Cameras ,30289.799945644998,0.007635629140361346
Children's Clothing,27178.099596873,0.006851213597776286
Crafts,25531.17006045,0.006436046010568721
