order date (DateOrders),row_count
2015-01-31,5322
2015-02-28,4729
2015-03-31,5362
2015-04-30,5126
2015-05-31,5357
2015-06-30,5134
2015-07-31,5299
2015-08-31,5273
2015-09-30,5140
2015-10-31,5302
2015-11-30,5235
2015-12-31,5371
2016-01-31,5317
2016-02-29,4894
2016-03-31,5210
2016-04-30,5097
2016-05-31,5302
2016-06-30,5054
2016-07-31,5305
2016-08-31,5334
2016-09-30,5160
2016-10-31,5398
2016-11-30,5210
2016-12-31,5269
2017-01-31,5217
2017-02-28,4906
2017-03-31,5347
2017-04-30,5212
2017-05-31,5317
2017-06-30,4951
2017-07-31,5318
2017-08-31,5305
2017-09-30,5189
2017-10-31,2255
2017-11-30,2055
2017-12-31,2124
2018-01-31,2123
